,County,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI
57,Yuba_CA,15.1,0.0,84.9
58,Aitkin_MN,0.0,0.0,100.0
59,Anoka_MN,60.7,39.3,0.0
60,Becker_MN,0.0,15.2,84.8
61,Beltrami_MN,3.4,0.0,96.6
62,Benton_MN,4.8,22.9,72.2
63,Big Stone_MN,0.0,30.1,69.9
64,Blue Earth_MN,17.6,38.5,43.9
65,Brown_MN,11.4,0.0,88.6
66,Carlton_MN,22.9,28.8,48.3
67,Carver_MN,20.1,79.9,0.0
68,Cass_MN,8.6,0.0,91.4
69,Chippewa_MN,13.9,45.3,40.8
70,Chisago_MN,41.4,58.6,0.0
71,Clay_MN,6.5,28.7,64.9
72,Clearwater_MN,0.0,0.0,100.0
73,Cook_MN,14.3,0.0,85.7
74,Cottonwood_MN,0.0,62.2,37.8
75,Crow Wing_MN,15.5,12.3,72.2
76,Dakota_MN,77.0,23.0,0.0
77,Dodge_MN,8.6,23.6,67.8
78,Douglas_MN,15.4,19.6,65.0
79,Faribault_MN,0.0,6.2,93.8
80,Fillmore_MN,19.1,7.7,73.2
81,Freeborn_MN,34.9,63.2,1.8
82,Goodhue_MN,44.0,33.8,22.2
83,Grant_MN,0.0,30.2,69.8
84,Hennepin_MN,91.6,8.4,0.0
85,Houston_MN,8.2,0.0,91.8
86,Hubbard_MN,1.0,4.6,94.4
87,Isanti_MN,37.4,48.8,13.8
88,Itasca_MN,0.0,4.1,95.9
89,Jackson_MN,0.0,56.0,44.0
90,Kanabec_MN,5.9,22.4,71.7
91,Kandiyohi_MN,23.7,31.5,44.9
92,Kittson_MN,0.0,13.2,86.8
93,Koochiching_MN,0.0,0.0,100.0
94,Lac qui Parle_MN,1.9,38.3,59.8
95,Lake_MN,4.9,2.7,92.3
96,Lake of the Woods_MN,0.0,0.0,100.0
97,Le Sueur_MN,20.9,56.1,23.0
98,Lincoln_MN,0.0,14.9,85.1
99,Lyon_MN,15.4,40.3,44.2
100,McLeod_MN,28.1,65.6,6.3
101,Mahnomen_MN,0.0,0.0,100.0
102,Marshall_MN,0.0,0.7,99.3
103,Martin_MN,15.2,16.3,68.4
104,Meeker_MN,6.4,31.9,61.6
105,Mille Lacs_MN,11.2,42.0,46.8
106,Morrison_MN,1.8,17.7,80.4
107,Mower_MN,16.2,49.1,34.7
108,Murray_MN,0.0,25.8,74.2
109,Nicollet_MN,29.4,19.3,51.3
110,Nobles_MN,15.4,37.1,47.6
111,Norman_MN,0.0,0.0,100.0
112,Olmsted_MN,54.5,45.5,0.0
113,Otter Tail_MN,0.0,18.2,81.8
114,Pennington_MN,0.0,0.0,100.0
115,Pine_MN,22.3,13.4,64.3
116,Pipestone_MN,23.9,40.4,35.7
117,Polk_MN,2.0,0.0,98.0
118,Pope_MN,0.0,33.3,66.7
119,Ramsey_MN,100.0,0.0,0.0
120,Red Lake_MN,0.0,24.9,75.1
121,Redwood_MN,15.0,53.1,31.8
122,Renville_MN,16.6,53.9,29.5
123,Rice_MN,19.2,49.5,31.3
124,Rock_MN,15.2,33.2,51.6
125,Roseau_MN,0.0,0.0,100.0
126,St. Louis_MN,10.8,3.6,85.6
127,Scott_MN,73.5,26.5,0.0
128,Sherburne_MN,36.0,64.0,0.0
129,Sibley_MN,2.9,32.1,65.0
130,Stearns_MN,8.5,48.9,42.6
131,Steele_MN,34.6,37.0,28.3
132,Stevens_MN,23.1,64.3,12.6
133,Swift_MN,0.0,29.8,70.2
134,Todd_MN,7.5,19.1,73.3
135,Traverse_MN,0.0,0.0,100.0
136,Wabasha_MN,26.9,44.2,28.8
137,Wadena_MN,4.8,0.0,95.2
138,Waseca_MN,0.0,68.1,31.9
139,Washington_MN,63.0,37.0,0.0
140,Watonwan_MN,0.0,47.4,52.6
141,Wilkin_MN,0.0,13.5,86.5
142,Winona_MN,16.2,34.1,49.8
143,Wright_MN,47.4,52.6,0.0
144,Yellow Medicine_MN,1.9,60.3,37.8
145,Anderson_TX,10.3,0.0,89.7
146,Andrews_TX,0.0,0.0,100.0
147,Angelina_TX,13.7,0.0,86.3
148,Aransas_TX,22.7,0.0,77.3
149,Archer_TX,2.8,0.0,97.2
150,Armstrong_TX,0.0,0.0,100.0
151,Atascosa_TX,0.0,9.7,90.3
152,Austin_TX,13.7,2.5,83.8
153,Bailey_TX,0.0,0.0,100.0
154,Bandera_TX,14.1,0.3,85.7
155,Bastrop_TX,18.5,13.3,68.2
156,Baylor_TX,0.0,0.0,100.0
157,Bee_TX,0.0,0.0,100.0
158,Bell_TX,36.3,37.7,26.0
159,Bexar_TX,65.7,34.3,0.0
160,Blanco_TX,18.5,0.0,81.5
161,Borden_TX,0.0,0.0,100.0
162,Bosque_TX,2.1,0.0,97.9
163,Bowie_TX,8.5,0.0,91.5
164,Brazoria_TX,27.4,12.1,60.4
165,Brazos_TX,50.3,20.1,29.6
166,Brewster_TX,0.0,0.0,100.0
167,Briscoe_TX,0.0,0.0,100.0
168,Brooks_TX,0.0,0.0,100.0
169,Brown_TX,0.0,12.4,87.6
170,Burleson_TX,4.0,0.0,96.0
171,Burnet_TX,19.6,15.5,64.9
172,Caldwell_TX,2.5,3.7,93.8
173,Calhoun_TX,0.0,0.0,100.0
174,Callahan_TX,0.0,0.0,100.0
175,Cameron_TX,19.2,0.0,80.8
176,Camp_TX,1.0,0.0,99.0
177,Carson_TX,0.0,0.0,100.0
178,Cass_TX,0.0,0.0,100.0
179,Castro_TX,0.0,0.0,100.0
180,Chambers_TX,4.8,12.0,83.2
181,Cherokee_TX,0.0,0.0,100.0
182,Childress_TX,15.5,0.0,84.5
183,Clay_TX,11.3,0.0,88.7
184,Cochran_TX,0.0,0.0,100.0
185,Coke_TX,0.0,0.0,100.0
186,Coleman_TX,0.0,0.0,100.0
187,Collin_TX,50.0,49.5,0.5
188,Collingsworth_TX,2.3,0.0,97.7
189,Colorado_TX,19.2,0.0,80.8
190,Comal_TX,41.6,46.3,12.1
191,Comanche_TX,0.0,0.0,100.0
192,Concho_TX,0.0,0.0,100.0
193,Cooke_TX,0.0,0.0,100.0
194,Coryell_TX,6.9,0.0,93.1
195,Cottle_TX,0.0,0.0,100.0
196,Crane_TX,0.0,0.0,100.0
197,Crockett_TX,4.2,0.0,95.8
198,Crosby_TX,0.0,0.0,100.0
199,Culberson_TX,3.0,0.0,97.0
200,Dallam_TX,0.0,0.0,100.0
