,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
351,Schleicher,17479851000.0,1382074.9,29422802.0,1055019.0,4284.0,0.0,0.0,4284.0,0.0,0.0,100.0,TX
352,Scurry,112953864400.0,9214048.29,141190050.0,7119264.5,20163.0,0.0,2644.523,17518.477,0.0,13.1,86.9,TX
353,Shackelford,29177039000.0,2306933.5,33096752.0,1761018.0,4704.0,0.0,0.0,4704.0,0.0,0.0,100.0,TX
354,Shelby,114316750000.0,9038653.9,192422650.0,6899735.8,28017.0,0.0,0.0,28017.0,0.0,0.0,100.0,TX
355,Sherman,18427930000.0,1457036.5,20903582.0,1112241.6,2971.0,0.0,0.0,2971.0,0.0,0.0,100.0,TX
356,Smith,1066566740000.0,84625750.9,1470532510.0,63081216.8,221563.0,67198.55,0.0,154364.45,30.3,0.0,69.7,TX
357,Somervell,30748442000.0,6032160.4,86541251.0,4604702.6,12300.0,0.0,0.0,12300.0,0.0,0.0,100.0,TX
358,Starr,205385590000.0,18551062.0,383466700.0,14161116.0,55751.0,0.0,0.0,55751.0,0.0,0.0,100.0,TX
359,Stephens,41973675000.0,3318721.9,70651813.0,2533375.5,10287.0,0.0,0.0,10287.0,0.0,0.0,100.0,TX
360,Sterling,6222184700.0,1220654.2,17512291.0,931797.14,2489.0,0.0,0.0,2489.0,0.0,0.0,100.0,TX
361,Stonewall,8352300300.0,660389.21,14058935.0,504113.9,2047.0,0.0,0.0,2047.0,0.0,0.0,100.0,TX
362,Sutton,9282287400.0,2803728.5,40224092.0,2140250.8,5717.0,0.0,0.0,5717.0,0.0,0.0,100.0,TX
363,Swisher,28047734000.0,2217643.1,47211098.0,1692857.3,6874.0,0.0,0.0,6874.0,0.0,0.0,100.0,TX
364,Tarrant,9689454340000.0,248578921.0,10020714300.0,162307267.0,1713567.02,1508473.1,205093.92,0.0,88.0,12.0,0.0,TX
365,Taylor,375732730000.0,39612368.7,868995980.0,29437628.5,129881.99799999999,21680.628,0.0,108201.37,16.7,0.0,83.3,TX
366,Terrell,4896316700.0,387135.83,8241681.3,295523.54,1200.0,0.0,0.0,1200.0,0.0,0.0,100.0,TX
367,Terry,45576548000.0,3603589.4,76716317.0,2750831.6,11170.0,0.0,0.0,11170.0,0.0,0.0,100.0,TX
368,Throckmorton,8356380500.0,660711.82,14065803.0,504360.17,2048.0,0.0,0.0,2048.0,0.0,0.0,100.0,TX
