,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_bev,vehicle_split_ffv,vehicle_split_sidi,county,state
115,Frio_TX,174775035000.0,19829621.0,284665506.0,11269335.0,41506.999800000005,23.8,13.4,62.8,Frio,TX
116,Gaines_TX,53447423000.0,6047128.2,91304255.0,3732601.2399999998,13388.0,25.6,40.4,34.0,Gaines,TX
117,Galveston_TX,201465133800.0,21821893.16,309731030.4,12411922.0,44088.000069999995,2.2,0.0,97.8,Galveston,TX
118,Garza_TX,51264867247.0,7879352.224599999,108276925.545,4938732.9728,15339.999543999998,0.1,33.3,66.6,Garza,TX
119,Gillespie_TX,3644168600000.0005,227788870.00000003,4381334400.000001,91690257.00000003,709651.0000000001,100.0,0.0,0.0,Gillespie,TX
120,Glasscock_TX,18483007900.0,2970948.68,40312766.9,1818955.11,5705.0,0.0,24.9,75.1,Glasscock,TX
121,Glenn_CA,87771949000.0,10377416.399999999,154598829.0,6757889.94,22404.9997,15.7,53.1,31.2,Glenn,CA
122,Goliad_TX,82834103000.0,10039365.7,150952931.0,6533885.18,21946.000500000002,18.0,53.9,28.1,Goliad,TX
123,Gonzales_TX,335671869000.0,40726393.4,613666980.0,26058847.5,89489.99900000001,20.7,49.5,29.8,Gonzales,TX
124,Goodhue_MN,571295614000.0,32869916.240000002,665070069.0,20578256.39,108854.0,77.6,4.1,18.3,Goodhue,MN
125,Grant_MN,90039680000.0,11798386.0,154522020.0,6741934.9,21805.0,0.0,0.0,100.0,Grant,MN
126,Gray_TX,1380293226000.0,143298018.1,1949673182.0,81015478.0,279354.00200000004,11.4,3.6,85.0,Gray,TX
127,Grayson_TX,712247490000.0,65423710.0,1156041610.0,33454982.0,181275.005,76.4,23.6,0.0,Grayson,TX
128,Gregg_TX,522687760000.0,48267210.0,824165340.0,31463471.7,123473.0,37.8,62.2,0.0,Gregg,TX
129,Grimes_TX,72064204900.0,10794285.1,149392712.6,6716855.141999999,21243.00003,3.0,32.1,64.8,Grimes,TX
130,Guadalupe_TX,866575245000.0,101133990.8,1463643740.0,65543905.0,210174.997,9.1,48.9,42.1,Guadalupe,TX
131,Hale_TX,202332136000.0,21975164.8,343122940.0,13165853.9,51031.0,36.4,37.0,26.5,Hale,TX
132,Hall_TX,49045152200.0,5896110.0,92413019.0,3935389.3,13570.000000000002,24.5,64.3,11.1,Hall,TX
133,Hamilton_TX,65992512000.0,7052276.3,96391186.0,4378166.5,13649.0,0.0,29.8,70.2,Hamilton,TX
134,Hansford_TX,138327585000.0,17645712.88,243085430.0,10501985.45,34733.000100000005,7.9,19.1,73.0,Hansford,TX
135,Hardeman_TX,23465278000.0,2472513.0,34964149.0,1412864.5,4964.0,0.0,0.0,100.0,Hardeman,TX
136,Hardin_TX,117755218000.0,13365361.100000001,205319040.0,8311387.6,30241.999699999997,28.6,44.2,27.2,Hardin,TX
137,Harris_TX,86888296500.0,9477785.700000001,135208278.5,5356280.7700000005,19313.99951,5.1,0.0,94.9,Harris,TX
138,Harrison_TX,118811080000.0,12959585.5,187710128.0,8960031.0,26698.0003,0.0,68.1,31.9,Harrison,TX
139,Hartley_TX,1451893000000.0,122710161.0,2147733930.0,68329743.0,332246.0,65.1,34.9,0.0,Hartley,TX
140,Haskell_TX,72045757000.0,7857749.5,110241750.0,5123874.3,15642.0,0.0,47.4,52.6,Haskell,TX
141,Hays_TX,36424942000.0,4863539.16,64918084.4,2884724.81,9175.0,0.0,13.5,86.5,Hays,TX
142,Hemphill_TX,317425648000.0,34168787.9,495683453.0,20955307.5,71798.0,17.0,34.1,49.0,Hemphill,TX
143,Henderson_TX,686851500000.0,65276254.0,1144306140.0,40008647.0,173981.0,49.6,50.4,0.0,Henderson,TX
144,Hennepin_MN,53979273300.0,7092639.63,102195359.5,4786431.647,14563.0,2.2,60.3,37.5,Hennepin,MN
145,Hidalgo_TX,203284533000.0,15473342.7,335914639.0,11608971.33,49759.000100000005,11.0,0.0,89.0,Hidalgo,TX
